id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40577490,Room in Kennedy Town near HKU MTR - K1d,4584648,Ivy,,Central & Western,22.28368,114.13087,Private room,180,30,0,,,384,364,0,
633080474856708078,Lady Only and good price for University Student,460497255,Mathew,,Kowloon City,22.32168,114.18775,Private room,144,1,0,,,1,365,0,
28196704,紅館客棧 Spin Hotel 6 - 標準雙人床房 Double bed room,166183091,Pineapple,,Yau Tsim Mong,22.31642,114.17081,Private room,220,1,20,2021-11-07,0.44,53,73,1,
47552228,旺角區經濟單人房Budget Single Rm@Mong Kok0121,24358640,Janis,,Yau Tsim Mong,22.31794,114.17071,Private room,258,10,0,,,39,220,0,
18982135,Tsimshatsui Room in Flat Share (T4e),67709885,Steven,,Yau Tsim Mong,22.29858,114.17179,Private room,180,29,0,,,259,179,0,
6045117,"Happy Valley, Hong Kong",31373491,Maurice,,Wan Chai,22.26762,114.18575,Entire home/apt,1177,1,0,,,1,365,0,
45744372,JustInn Single/Double Room(813)正旅館雙人/單人房 可月租尖沙咀正中心,30077570,Just Inn,,Yau Tsim Mong,22.29782,114.17279,Private room,340,1,2,2021-10-30,0.22,7,305,2,
35181958,Comfort and Convenient Prince Edward Room (PE1B),7518056,Jovee,,Kowloon City,22.31741,114.18065,Private room,180,29,0,,,375,365,0,
578622460502909446,柯士甸及九龙站精致房间,429153998,Jack,,Yau Tsim Mong,22.30688527185507,114.16805804955364,Private room,465,90,0,,,2,348,0,
48429100,The Lodge by V | Studios w/ kitchen and balcony,389864874,V,,Yau Tsim Mong,22.30773,114.16851,Private room,670,30,0,,,4,365,0,
34737299,Very cheap and comfort studio in Yau Ma Tei (Y9A),7518056,Jovee,,Yau Tsim Mong,22.31416,114.16864,Private room,217,29,0,,,375,365,0,
5223888,"COZY, Nice, clean Room wifi",27029530,Cosy Room,,Yau Tsim Mong,22.31232,114.16947,Private room,883,30,2,2018-04-30,0.03,1,90,0,
14063919,NICE STUDIO in Yau Ma Tei (13d),67709885,Steven,,Yau Tsim Mong,22.31422,114.17147,Private room,217,31,0,,,259,364,0,
18041664,"Twin Rm, mongkok 1min MTR, Speaks Eng/",123954370,Juliet,,Yau Tsim Mong,22.2977,114.17141,Private room,480,2,216,2020-10-12,3.44,9,90,0,
45789144,Deluxe Suite,364588058,Hotel Pravo,,Yau Tsim Mong,22.29749,114.17141,Private room,4000,1,0,,,4,365,0,
18658616,Mong Kok Luxury Studio *3D,14861546,Tane Residence,,Yau Tsim Mong,22.32045,114.16946,Entire home/apt,306,3,3,2022-03-12,0.05,114,190,1,
37120943,8 Bunk Bed in Male Dorm (Old Hong Kong Theme),213944161,Old Hong Kong,,Yau Tsim Mong,22.29719,114.17206,Private room,180,1,4,2019-08-31,0.11,4,365,0,
25144253,"(香港佐敦)糖果音樂主題三人房 ~ 地理交通優先選(步行2分鐘到地鐵站, 6分鐘到尖沙咀)",189829763,Yannes,,Yau Tsim Mong,22.3073,114.16971,Private room,5645,1,10,2019-07-11,0.22,5,133,0,
45871018,Nice Room  with large window,371884156,Lily,,Yau Tsim Mong,22.29604,114.17347,Private room,350,1,0,,,1,364,0,
6809404,Double Room Window (TsimShaTsui),33962724,Mandy,,Yau Tsim Mong,22.29792,114.17063,Private room,501,1,0,,,4,90,0,
34657101,Standard Single Private Ensuite,256133041,Ymt,,Yau Tsim Mong,22.31088,114.17015,Hotel room,238,1,2,2021-12-18,0.08,8,365,1,
