id,topics
4174619,"[(0, 0.010426183), (1, 0.27584177), (2, 0.66160196), (3, 0.010425426), (4, 0.010419377), (5, 0.010428555), (6, 0.010433274), (7, 0.010423464)]"
4174689,"[(1, 0.9824827)]"
5036625,"[(1, 0.074857704), (3, 0.54143476), (4, 0.112861335), (5, 0.19524524), (7, 0.069127284)]"
5042965,"[(2, 0.44564274), (3, 0.42304686), (4, 0.078561686), (7, 0.045596283)]"
4179484,"[(2, 0.1341297), (3, 0.31686762), (4, 0.17713127), (5, 0.3059782), (6, 0.055744443)]"
4193855,"[(1, 0.9070538), (3, 0.07821376)]"
4212561,"[(1, 0.29576042), (5, 0.02716449), (6, 0.66647094)]"
4218574,"[(2, 0.9619102)]"
4228094,"[(1, 0.3872568), (2, 0.48443288), (5, 0.09986805)]"
4237262,"[(1, 0.7785176), (2, 0.20936836)]"
4246603,"[(2, 0.96348625)]"
5074403,"[(2, 0.96189725)]"
5110764,"[(2, 0.33672395), (3, 0.23770449), (5, 0.4127904)]"
4362354,"[(0, 0.3805184), (2, 0.05752116), (3, 0.046335243), (5, 0.5091217)]"
5158538,"[(4, 0.5859025), (5, 0.3765559)]"
5163619,"[(0, 0.9145207), (7, 0.055420462)]"
5180128,"[(0, 0.62080085), (3, 0.3374659)]"
5180563,"[(0, 0.9717388)]"
5207367,"[(0, 0.34562293), (3, 0.26193342), (5, 0.28299436), (6, 0.0987889)]"
4406834,"[(5, 0.4446684), (7, 0.5468934)]"
4436837,"[(2, 0.96348405)]"
5208678,"[(0, 0.49757752), (3, 0.28615516), (5, 0.20399407)]"
5221596,"[(0, 0.36242715), (5, 0.5958524)]"
4471776,"[(2, 0.5710744), (3, 0.3986266), (6, 0.019511255)]"
5223888,"[(0, 0.025020879), (1, 0.025057042), (2, 0.025013693), (3, 0.025060505), (4, 0.025035575), (5, 0.8247535), (6, 0.025015527), (7, 0.025043186)]"
4503527,"[(1, 0.04042461), (2, 0.13254124), (3, 0.4131679), (4, 0.15365367), (5, 0.19001968), (7, 0.065802)]"
5233736,"[(2, 0.59088004), (4, 0.15655331), (5, 0.20390962), (6, 0.04139731)]"
4517169,"[(2, 0.560367), (3, 0.37037095), (5, 0.060914464)]"
5242323,"[(3, 0.39593744), (5, 0.5869842)]"
4520730,"[(3, 0.3534961), (4, 0.63546145)]"
5243206,"[(0, 0.89992434), (3, 0.030729968), (6, 0.057971973)]"
5255754,"[(2, 0.12150627), (3, 0.86554044)]"
4550324,"[(2, 0.14092535), (3, 0.8246509), (6, 0.025352215)]"
4576534,"[(0, 0.71810836), (3, 0.27305374)]"
5271925,"[(0, 0.76333266), (6, 0.07822143), (7, 0.1368637)]"
5283747,"[(4, 0.66152537), (5, 0.30583563)]"
5325455,"[(4, 0.6260336), (5, 0.33821094)]"
5347247,"[(0, 0.19363645), (2, 0.16619469), (3, 0.6314689)]"
4658306,"[(2, 0.19650851), (3, 0.5524188), (5, 0.23461016)]"
5435751,"[(0, 0.5111539), (4, 0.39382404), (5, 0.08689456)]"
4678644,"[(2, 0.09568973), (3, 0.55386066), (4, 0.111109555), (5, 0.17983073), (6, 0.053142652)]"
4691285,"[(1, 0.54863703), (5, 0.25912842), (7, 0.16615173)]"
5435797,"[(0, 0.46943125), (4, 0.52027637)]"
4691361,"[(2, 0.13142265), (3, 0.57639086), (4, 0.17440474), (6, 0.10832856)]"
5464143,"[(2, 0.17679834), (4, 0.35576302), (7, 0.45052508)]"
6048409,"[(0, 0.90151036), (7, 0.0787145)]"
5465122,"[(2, 0.11205425), (4, 0.47822896), (6, 0.044217575), (7, 0.3482316)]"
5465183,"[(0, 0.14440225), (2, 0.2022404), (4, 0.42096552), (7, 0.22173755)]"
5465211,"[(0, 0.6830359), (4, 0.28431183)]"
5484418,"[(0, 0.6937845), (4, 0.27733225)]"
5491259,"[(0, 0.25937426), (3, 0.37182936), (7, 0.34374452)]"
6051073,"[(0, 0.24291229), (4, 0.647468), (5, 0.097349115)]"
6057391,"[(3, 0.36200312), (4, 0.6274213)]"
5535344,"[(0, 0.1827421), (2, 0.31354877), (3, 0.15797031), (5, 0.10217649), (7, 0.23647067)]"
5587724,"[(0, 0.5147904), (4, 0.11891573), (6, 0.059463155), (7, 0.29490945)]"
5608867,"[(0, 0.54910475), (3, 0.11543964), (4, 0.2581705), (6, 0.06410842)]"
6098189,"[(0, 0.90797305), (4, 0.0615781), (7, 0.022419516)]"
5677040,"[(0, 0.5037453), (1, 0.08525187), (2, 0.39847705)]"
6120946,"[(0, 0.015655337), (1, 0.015632551), (2, 0.015626881), (3, 0.015630618), (4, 0.015630513), (5, 0.89055824), (6, 0.015631342), (7, 0.015634507)]"
5677050,"[(0, 0.50374687), (1, 0.085254595), (2, 0.39847282)]"
5678100,"[(0, 0.26903307), (3, 0.5365547), (5, 0.18649127)]"
6158116,"[(2, 0.14212947), (5, 0.84882367)]"
6171123,"[(0, 0.23861666), (4, 0.7454071)]"
6238727,"[(0, 0.20873949), (2, 0.2564025), (3, 0.34229678), (5, 0.18233718)]"
5687215,"[(0, 0.24854782), (1, 0.11915742), (3, 0.06367808), (4, 0.55246335)]"
5697492,"[(2, 0.29794422), (3, 0.24274938), (5, 0.44832394)]"
