id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1320136,Tong Lau | Tree House | old HK,634820,Wontonmeen,,Sham Shui Po,22.33023,114.16331,Entire home/apt,986,1,123,2019-05-12,1.23,7,364,0,
1345297,Modern Studio in Central/Soho!,5056201,Joyce,,Central & Western,22.28251,114.15107,Entire home/apt,780,28,1,2014-05-01,0.01,3,358,0,
1463674,charming euro style cosy home,7842633,Chu,,Wan Chai,22.27816,114.17235,Entire home/apt,1646,29,6,2015-03-29,0.06,4,365,0,
1476913,Neat Cozy Studio for 1-3 @ Wan Chai,2716535,Jade,,Wan Chai,22.27834,114.17437,Entire home/apt,564,2,9,2016-05-04,0.09,2,180,0,
1534018,Old Hong Kong charm,8178525,Lesley,,Central & Western,22.28611,114.13637,Private room,750,3,1,2014-08-18,0.01,1,270,0,
1567495,Cozy Double Rm 3 next to Jordan MTR,4048151,Stephen,,Yau Tsim Mong,22.3057,114.17191,Private room,354,1,49,2018-10-29,0.47,5,365,0,
1606207,3BedR + 3BathR @ Hennessy Road 07/F 580SF,1375696,C S,,Wan Chai,22.27794,114.16985,Entire home/apt,2318,2,23,2020-07-17,0.22,14,181,0,
1615676,New rooms for 1-14ppl in Mong Kok,8599676,Man Yuen,,Yau Tsim Mong,22.31935,114.17164,Private room,564,1,3,2015-01-05,0.03,1,365,0,
1623311,Spacious homey 1BR in Central SoHo Area,8632157,Sara,,Central & Western,22.28115,114.15348,Entire home/apt,800,7,7,2015-12-28,0.07,1,210,0,
1642196,Taikoo Shing Luxury 1024 sqft High-Floor Apt,1190017,Paul,,Eastern,22.28934,114.21915,Entire home/apt,1800,28,0,,,2,355,0,
1643979,3BedR + 3BathR @ Hennessy Road 10/F 580SF,1375696,C S,,Wan Chai,22.27814,114.1701,Entire home/apt,2399,2,26,2022-01-04,0.25,14,181,1,
1671911,Modern Studio Apartment Near Causeway Bay [2],6315448,Lauli15,,Wan Chai,22.2833,114.19163,Entire home/apt,452,90,8,2019-11-30,0.08,6,326,0,
1697582,"7BedR + 5BathR @ Hennessy Road 09/F 1,160SF",1375696,C S,,Wan Chai,22.27651,114.16991,Entire home/apt,4733,1,39,2019-07-21,0.38,14,354,0,
1702604,"fit 12 ppl,big family, cozy",4500928,Jan,,Yau Tsim Mong,22.3171,114.17026,Entire home/apt,2257,1,7,2014-12-14,0.07,2,365,0,
1708543,Spacious studio in heart of SoHo,7456732,Patrick,,Central & Western,22.28203,114.15223,Entire home/apt,960,2,8,2017-06-12,0.08,1,0,0,
1745925,walk 30sec to Yau Ma Tei MTR Rm10,3704487,Daniel,,Yau Tsim Mong,22.31467,114.16983,Private room,2000,1,127,2017-12-16,1.25,3,365,0,
1749208,walk 30sec to Yau Ma Tei MTR Rm11,3704487,Daniel,,Yau Tsim Mong,22.31248,114.16904,Private room,1286,1,77,2017-01-18,0.76,3,365,0,
1752310,"Modern Large Studio , Heart of city",808933,J,,Wan Chai,22.27547,114.17369,Entire home/apt,579,3,131,2021-12-26,1.28,3,328,6,
1796187,Hong Kong Seafront Surf Shack,5632220,Andrew,,Southern,22.23038,114.25346,Entire home/apt,600,3,73,2022-02-05,0.71,1,364,1,
1825886,Central Mong kok Renovated Room 203,2767559,Mark,,Yau Tsim Mong,22.31727,114.16945,Private room,823,2,0,,,14,89,0,
1826133,Harbour Mong kok Renovated Room 2,2767559,Mark,,Yau Tsim Mong,22.31672,114.16796,Private room,2256,2,0,,,14,365,0,
1832930,Single bed room with green view,4031260,Jen Ai,,North,22.52314,114.18193,Private room,350,2,14,2019-09-04,0.15,2,264,0,
1835565,Central Mong kok Renovated Room 2,2767559,Mark,,Yau Tsim Mong,22.31632,114.17019,Private room,714,2,1,2015-11-01,0.01,14,90,0,
